ts_code,name,industry,float_date,ratio,share_wan,amount_yi,src
603285.SH,键邦股份,化工原料,20270705,61.06,9770.3,34.7,推导36mo
920189.BJ,康美特,化工原料,20270708,35.59,5032.4,10.06,已公告
920136.BJ,永励精密,汽车配件,20270709,73.75,5900.0,12.15,已公告
301603.SZ,乔锋智能,机床制造,20270710,68.75,8302.8,95.32,推导36mo
301583.SZ,托伦斯,机械基件,20270712,30.99,5747.2,63.41,已公告
920081.BJ,欧伦电气,家用电器,20270712,76.45,5550.0,22.81,已公告
920117.BJ,龙鑫智能,专用机械,20270716,62.23,5590.5,15.51,已公告
688806.SH,泰诺麦博,生物制药,20270721,88.92,40952.1,82.35,推导12mo
301552.SZ,科力装备,汽车配件,20270722,75.0,9282.0,21.99,推导36mo
920079.BJ,乔路铭,汽车配件,20270722,81.44,33905.8,43.84,已公告
301606.SZ,绿联科技,元器件,20270726,60.23,24991.1,133.5,推导36mo
920238.BJ,长鹰硬科,机械基件,20270726,21.85,2081.1,13.69,已公告
920176.BJ,维琪科技,化工原料,20270727,66.22,3895.7,24.93,已公告
688825.SH,长鑫科技,半导体,20270727,93.37,6338106.0,35956.08,推导12mo
920065.BJ,千岸科技,互联网,20270729,32.93,2972.2,9.62,已公告
603391.SH,力聚热能,专用机械,20270731,75.0,6825.0,46.14,推导36mo
301608.SZ,博实结,通信设备,20270801,55.12,7308.9,29.92,推导36mo
920258.BJ,聚仁新材,化工原料,20270803,29.0,11598.1,12.12,已公告
920038.BJ,森合高科,化工原料,20270805,49.08,5128.9,18.83,已公告
688721.SH,龙图光罩,半导体,20270806,58.69,7834.7,29.54,推导36mo
301707.SZ,展芯股份,元器件,20270809,40.85,16795.8,115.34,已公告
301717.SZ,超纯应材,半导体,20270811,29.21,2974.5,96.13,已公告
688828.SH,国仪公司,电器仪表,20270811,93.49,37397.1,326.48,推导12mo
603310.SH,巍华新材,化工原料,20270814,43.82,15133.0,22.49,推导36mo
301611.SZ,珂玛科技,半导体,20270816,66.38,28941.9,248.29,推导36mo
688826.SH,频准激光,元器件,20270818,80.96,3238.2,244.85,推导12mo
688836.SH,宇树科技,专用机械,20270819,92.56,37437.7,1786.23,推导12mo
920059.BJ,双英集团,汽车配件,20270819,44.73,6802.1,8.59,已公告
301655.SZ,绿控传动,汽车配件,20270820,39.65,18064.1,38.44,已公告
301571.SZ,国科天成,元器件,20270821,33.59,6026.3,43.1,推导36mo
920118.BJ,太湖远大,塑料,20270822,39.4,2037.2,4.19,推导36mo
920093.BJ,信胜科技,纺织机械,20270823,82.13,11580.0,21.81,已公告
688835.SH,高凯技术,专用机械,20270825,81.21,8116.8,219.43,推导12mo
603207.SH,小方制药,化学制药,20270826,66.25,10718.1,25.4,推导36mo
301586.SZ,佳力奇,航空,20270828,36.23,3006.4,8.89,推导36mo
920008.BJ,成电光信,通信设备,20270829,46.56,2968.1,7.35,推导36mo
920288.BJ,华大海天,造纸,20270830,66.11,4818.1,8.46,已公告
601123.SH,马矿股份,普钢,20270901,40.03,49427.1,75.43,已公告
