ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
300034.SZ,20260320,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,0,-0.03973168214654277,-0.04836109618484674,-0.01248205482819209,-0.027941966684578046,-0.017180296349098456,0.049973132724341784,0.017802463763148202,0.007101620387131691,-0.025749320470606962,
300859.SZ,20260320,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,0,-0.016285714285714348,-0.08161487075225093,-0.0469895754837244,-0.01655532965437112,-0.005667597674679947,-0.020040662213186122,-0.050066142360064125,-0.17590887507479847,-0.20279014331851208,
605155.SH,20260320,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260320,0,-0.06336753168376585,-0.06829896907216493,-0.033171632761426206,0.03801546391752586,0.04950735004258555,0.014175257731958713,-0.01689858165331415,-0.11625504284740362,-0.14508217680592594,
002852.SZ,20260319,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260319,0,-0.09741881765195681,-0.07287822878228767,-0.06128066860155823,-0.12269372693726943,-0.09619490912347062,-0.10332103321033193,-0.11325254149989583,-0.30044155033935793,-0.31772991078591006,
603085.SH,20250320,监管审批,,,,8.92,,80.0,1、泰国乘用车整椅智能化生产基地建设项目;2、武汉乘用车座椅智能化生产基地建设项目;3、车辆座椅核心件生产基地建设项目;,20250320,0,-0.03485670023237797,-0.051364365971107606,-0.03892646453842352,-0.11637239165329061,-0.10715324873649612,-0.1717495987158909,-0.13832925815113106,-0.1171749598715891,-0.10487567548817323,
003019.SZ,20260318,监管审批,,,,9.25,,80.0,1、海外智能制造基地;2、补充流动资金。,20260318,0,-0.008437499999999987,-0.004727387330602073,0.009290980432978824,-0.00850929719508342,0.024561991242367576,0.05767412543334394,0.059613828625851406,0.05718664316641919,0.049718114258382684,
603990.SH,20260318,监管审批,,,,3.0,,80.0,1、用于公司主营业务相关项目及补充流动资金。,20260318,0,0.019710906701708275,-0.010309278350515427,0.0036304687415658066,-0.0012886597938143174,0.03202347384926907,-0.021907216494845283,-0.02011346012971149,0.47100515463917536,0.4606131916000018,
300857.SZ,20260317,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260317,0,-0.06827035058832975,0.08624628248782362,0.08275009597509131,-0.10585750614197664,-0.06701024069050887,0.20981854230421093,0.21663721396991686,0.4558609665926463,0.43931226386566147,
300774.SZ,20260317,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260317,0,-0.07034482758620697,-0.015331355093966215,-0.01850060436213985,-0.1483679525222552,-0.111367612595901,-0.1364985163204746,-0.13163172605881557,-0.30913107717358423,-0.31698415153268655,
001210.SZ,20260317,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260317,0,-0.10004257130693894,0.02507095553453187,0.021771667604058687,-0.0061494796594132595,0.03702973981394342,-0.0028382213812678803,0.0027818931468519548,0.5704135189290469,0.55256270275941,
300097.SZ,20260316,董事会预案,,,,2.5,,80.0,1、补充流动资金。,20260316,0,-0.030940594059405968,0.0012771392081736277,0.009900310582953598,-0.04214559386973182,0.02605292584726726,0.2554278416347382,0.27337647083774197,0.21583652618135374,0.21236814043336882,
002334.SZ,20260314,监管审批,,,,5.0,,80.0,1、苏州英威腾三期高端装备智造项目;2、中山研发中心建设项目。,20260313,1,-0.025691699604743046,-0.10040567951318458,-0.09805742801831929,-0.15010141987829595,-0.12037667198327617,-0.1450304259634888,-0.12211785323581381,-0.15689146334081272,-0.13396166013682786,
300136.SZ,20260314,监管审批,,,,60.0,,80.0,1、商业卫星通信器件及组件项目;2、射频器件及组件项目;3、芯片导热散热器件及组件项目。,20260313,1,-0.0435495898583147,0.014189926711367873,0.016837312268658255,-0.023857788866365137,0.010282262445968415,-0.009200062373304063,0.017352666891981006,0.5488162405358865,0.5909389922937418,
001298.SZ,20260313,监管审批,,,,3.0,,80.0,1、合理合法使用。,20260313,0,0.0088611749261569,0.02472348731294738,0.027398369096998776,-0.03415744957709821,-0.00037762338478652957,-0.0335068314899154,-0.007605506241886606,-0.06644175291387655,-0.041052012501610946,
300340.SZ,20250124,监管审批,,,,5.0,,80.0,1、全部用于补充流动资金和偿还债务。,20250124,0,0.0021008403361344463,-0.011530398322851076,-0.010914406677947519,0.06394129979035634,0.0416696821903646,0.23689727463312393,0.21291990795202698,-0.048218029350104774,-0.05807230963839738,
