ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
000061.SZ,20231121,实施完成,,20250903,20250930,19.64,19.64,80.0,1、光明海吉星二期项目;2、长沙海吉星二期继续建设项目;3、补充流动资金和偿还银行贷款。,20231121,0,0.0,0.02735562310030404,0.03556532466660833,0.028875379939209633,0.038823073677948905,0.013677811550151908,0.06053238425346641,-0.05775075987841949,-0.03266022912514943,
603578.SH,20230323,实施完成,,,20260312,5.76,5.76,80.0,1、补充流动资金。,20230323,0,-0.02791014295439087,0.10014005602240905,0.10721302904836505,0.09243697478991608,0.10094554278829104,0.0007002801120448154,-0.0037279203455047316,0.0002717832046745805,0.02803127839852171,
000100.SZ,20250304,实施完成,,20250805,20250822,43.59,43.59,80.0,募集配套资金用于1、支付本次交易的现金对价。,20250304,0,0.036402569593147804,-0.010330578512396604,-0.015588437617533368,-0.02685950413223137,-0.04287351675767159,-0.07644628099173556,-0.08312799136853799,-0.11776859504132231,-0.12767883928525192,
600025.SH,20240227,实施完成,,20250915,20251014,58.25,58.25,80.0,1、RM水电站项目;2、TB水电站项目。,20240227,0,-0.0032085561497324777,0.0021459227467810482,0.021670888184484483,0.04399141630901293,0.03292312291326249,-0.0010729613733905241,-0.006345312719372331,0.062231759656652175,0.030090079008514792,
300129.SZ,20240202,实施完成,,,20260115,11.76,11.76,80.0,1、补充流动资金。,20240202,0,0.013681592039801238,-0.08343558282208596,-0.07394934962368738,0.05644171779141094,-0.0090352632663665,0.053987730061349604,-0.06221654412755884,-0.05276073619631916,-0.17849740614725085,
002384.SZ,20240313,实施完成,,,20250627,14.04,14.04,80.0,1、补充流动资金。,20240313,0,0.04425363276089844,-0.03921568627450989,-0.03744457026336856,0.037318153067678494,0.025242504605906824,-0.1302972802024036,-0.12328052217248175,0.04532531308277865,0.05047301408822702,
688050.SH,20240418,实施完成,,20241128,20250512,2.85,2.85,80.0,1、隐形眼镜及注塑模具加工产线建设项目;2、补充流动资金。,20240418,0,0.10455271565495194,-0.02668305734326415,-0.023836831933030544,-0.0031817195748065075,0.0037810866431353674,0.08359245064719079,0.05485837548960082,-0.10240697589498438,-0.0686676706672229,
601868.SH,20230216,实施完成,,20260306,20260401,90.0,65.0,80.0,1、中能建哈密“光(热)储”多能互补一体化绿电示范项目;2、中国能源建设集团浙江火电建设有限公司光热+光伏一体化项目;3,20230216,0,0.008547008547008517,-0.012711864406779627,-0.005054559439154005,0.008474576271186418,-0.003319673930772815,0.04237288135593231,0.049524149288152186,0.06355932203389836,0.05215941269926594,
300073.SZ,20240208,实施完成,,,20250710,10.0,10.0,80.0,1、补充流动资金。,20240208,0,0.00765381218722383,-0.009348524685948045,-0.02454275448601262,-0.02132632193981876,-0.06659064844549811,0.035641250365176846,-0.028346529459186365,0.24452234881682755,0.130834128410934,
603099.SH,20220416,实施完成,,20251023,20251106,2.36,2.36,80.0,1、长白山火山温泉部落二期;2、长白山旅游交通设备提升项目。,20220415,1,-0.007306889352818535,-0.04311251314405884,-0.03840497948029509,-0.11777076761303873,-0.08223903523794063,-0.18401682439537326,-0.15089389863597014,-0.1430073606729757,-0.1614174790363958,
