ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60,suspended
000048.SZ,20251209,2.0,20260605,20260107,20260107,65.48,0.09994813,1,False,完成,20251209,0,0.0,0.0014981273408238849,0.003815556072484627,-0.04794007490636698,-0.026854407755858456,0.14981273408239693,0.10096523642253219,0.5588014981273406,0.48803436962794144,
000048.SZ,20260116,0.01,,20260127,20260526,1377.6200000000001,2.3963510424999996,3,False,完成,20260116,0,-0.012794612794612803,0.042974079126875786,0.03990970271034677,0.2946793997271486,0.2839581833257896,0.22578444747612547,0.23174212838958375,0.01978171896316483,0.023984613713935454,
000049.SZ,20210427,0.0,,20210708,20210708,2.9,0.0025379929999999997,1,False,完成,20210427,0,0.01299972043611941,-0.006485442251966345,-0.010640245518154123,-0.032013246860769895,-0.025292583599357044,-0.1251695502503436,-0.1635986267530598,-0.16028455438182632,-0.16629762487759459,
000049.SZ,20210820,0.01,,20211105,20211105,10.875,0.0095174738,1,False,完成,20210820,0,-0.02162565249813564,0.011941056910569126,-0.0025516177664584028,-0.05487804878048774,-0.08032246023108924,-0.1529471544715446,-0.19669066978686156,0.21570121951219523,0.16091114373895676,
000049.SZ,20220330,0.0,,20220616,20220616,2.7068,0.0021659001999999998,1,False,完成,20220330,0,0.03488052732765712,-0.02574309978768552,-0.021431413218328088,-0.07404458598726105,-0.06984578840783762,-0.17515923566878977,-0.11573144714161498,0.2222429291850765,0.17476455822120096,
000049.SZ,20220825,0.07,,20221104,20221104,88.504,0.070818,1,False,完成,20220825,0,-0.010069977811913322,-0.06172413793103437,-0.05881745139619221,-0.1343103448275862,-0.11765735954514767,-0.23379310344827586,-0.19462432130030716,-0.14310344827586208,-0.10316764954991864,
000050.SZ,20250416,2.0,20260702,20250804,20260513,10467.773399999998,9.7919134214,8,False,完成,20250416,0,-0.01091405184174632,0.012413793103448256,0.01107516944294984,0.09379310344827596,0.08704015656129993,0.16137931034482755,0.12979643353960668,0.2248275862068967,0.14480494237013164,
000055.SZ,20260602,0.6,20270601,20260608,20260626,3274.7,1.1937525428,3,False,完成,20260602,0,0.09973753280839914,-0.06205250596658707,-0.06409018920013909,-0.11694510739856812,-0.1026157466255998,-0.1885441527446302,-0.19591270393804083,-0.1527446300715991,-0.12415658879554192,
000056.SZ,20240427,,,20250410,20250410,2756.05,0.004799172,6,False,完成,20240426,1,0.009132420091324311,0.09954751131221706,0.09092662038389543,0.0588235294117645,0.04533842697056101,0.02714932126696823,0.01975959984794895,-0.25339366515837103,-0.2011772097516421,
000056.SZ,20250426,,,,,0.0,0.0,0,False,未实施,20250425,1,0.019933554817275656,0.009771986970684043,0.011812556180223366,0.05863192182410426,0.04355524588022086,0.022801302931596323,0.009059993480042383,0.019543973941368087,-0.06829921956229013,
000056.SZ,20250426,,,,,0.0,0.0,0,False,未实施,20250425,1,0.019933554817275656,0.009771986970684043,0.011812556180223366,0.05863192182410426,0.04355524588022086,0.022801302931596323,0.009059993480042383,0.019543973941368087,-0.06829921956229013,
