ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,days,ret,ex
000534.SZ,20230829,5.0,20240828,20230830,20240207,17590.725700000003,22.5166008064,11,False,完成,108,-0.24184988627748294,-0.1594780893082024
000534.SZ,20240330,0.01,,20240329,20240827,17052.2185,20.949454226300006,7,False,完成,101,-0.2618708047006326,-0.21200916510898904
000537.SZ,20250829,0.93,20260915,20251127,20260309,2951.5959000000003,2.5016019872,4,False,完成,64,0.13116726835138381,0.07004934055986412
000538.SZ,20200327,20.0,20210421,20200617,20201225,3374.8966,35.925885810699995,4,False,完成,129,0.2704381586245146,
000538.SZ,20220408,11.05,20230420,20220505,20220606,2392.3274,13.4322946877,3,False,完成,21,0.027189781021897952,-0.026326242889136986
000541.SZ,20201203,3.5,20211218,20210106,20211130,14099.2461,8.951711,7,False,完成,217,-0.09579093040377051,-0.09909188002416869
000546.SZ,20220126,0.5,20230125,20220222,20220308,500.4,0.79200112,3,False,完成,10,0.04093959731543606,0.09265136672067165
000550.SZ,20250414,2.0,20260411,20250416,20250930,2551.1256000000003,5.00232175,5,False,完成,115,0.12737262966302598,-0.04880533930960629
000552.SZ,20201125,3.0,20211124,20210126,20210930,18338.1374,5.1526619239,5,False,完成,165,0.4395438194898631,0.4400530423796003
000554.SZ,20250425,0.35,20260521,20251216,20260520,869.47,0.63260454,4,False,完成,99,0.23961661341853047,0.13913748283885408
000555.SZ,20200827,0.02,,20201125,20210126,3270.668,5.1121103397,5,False,完成,43,-0.17374053025471448,
000555.SZ,20220419,2.0,20230415,20220429,20220731,2552.7963,2.7498360804999997,5,False,完成,61,0.06318754403876858,-0.004192564322872072
000555.SZ,20240127,1.0,20250126,20240205,20240724,1578.5692,1.3615209691,4,False,完成,110,0.12427133629477027,0.04687787745671157
000561.SZ,20220730,0.0,,20231229,20231229,41.95440000000001,0.0087738094,9,False,完成,0,0.0,
