ts_code,t0,plan_amount_yi,exp_date,impl_first,impl_last,total_vol_wan,total_amt_yi,n_progress,stopped,outcome,base_date,gap_cal_days,d0,d1,ex1,d5,ex5,d20,ex20,d60,ex60
000680.SZ,20250328,0.0,,,,0.0,0.0,0,False,未实施,20250328,0,0.001054852320675037,-0.045310853530031614,-0.04085741641525342,-0.17597471022128564,-0.10818872889116182,-0.047418335089568164,-0.029199872154308415,-0.04109589041095907,-0.06151603133820038
000681.SZ,20260331,0.01,,,,0.0,0.0,0,False,未实施,20260331,0,-0.02572815533980577,0.02291978076731449,0.008233141823548618,0.0498256103637269,0.02272274885352976,0.03338315894369703,-0.020871820276954778,-0.006477329347284511,-0.055623709940058386
000723.SZ,20230914,0.02,,,,0.0,0.0,0,False,未实施,20230914,0,0.00966850828729271,-0.017783857729138153,-0.015009073532247785,-0.046511627906976716,-0.03357566305303128,-0.0738714090287278,-0.02932229963217914,-0.03556771545827642,0.024736997467453836
000725.SZ,20210831,0.08,,,,0.0,0.0,0,False,未实施,20210831,0,0.0034482758620690834,-0.0068728522336770626,-0.013321063794885735,-0.003436426116838587,-0.039391126720582204,-0.13230240549828187,-0.13819376756772184,-0.16666666666666685,-0.1736376080848484
000725.SZ,20241031,10.0,20250429,,,0.0,0.0,0,False,未实施,20241031,0,0.03318584070796482,-0.04496788008565322,-0.042688246989025846,-0.0021413276231263545,-0.05700922224545868,-0.08779443254817998,-0.09218811747898004,-0.0406852248394004,-0.03266357093693628
000725.SZ,20250422,20.0,20260523,,,0.0,0.0,0,False,未实施,20250422,0,0.0026109660574411553,-0.0026041666666666297,-0.001574835578373568,-0.005208333333333259,-0.001242581026712375,-0.005208333333333259,-0.01965159211440992,0.07338433787398158,-0.005023780628350072
000725.SZ,20260401,10.0,20270424,,,0.0,0.0,0,False,未实施,20260401,0,0.025575447570332255,-0.01496259351620921,-0.00760691772312827,0.0,-0.004442344798429421,0.017456359102244523,-0.023024364987144108,1.2067782526290407,1.1188315632192674
000729.SZ,20260415,,20270521,,,0.0,0.0,0,False,未实施,20260415,0,-0.02550637659414856,-0.0007698229407235857,-0.00775173849804911,-0.01385681293302532,-0.03284082135109878,-0.04849884526558901,-0.07252356498661916,-0.12548113933795235,-0.11223629246093192
000759.SZ,20240427,0.03,,,,0.0,0.0,0,False,未实施,20240426,1,0.025157232704402288,0.10122699386503076,0.09259293512380906,0.13496932515337434,0.12051443518146399,0.07975460122699385,0.07198641646673964,-0.14110429447852768,-0.08103449971057108
000759.SZ,20250426,0.23,,,,0.0,0.0,0,False,未实施,20250425,1,-0.013546798029556606,-0.02372034956304614,-0.021747462396154105,0.014981273408239737,0.0005262551598586018,0.05118601747815221,0.03706336010969569,-0.03495630461922583,-0.11810379235838031
000778.SZ,20210210,0.01,,,,0.0,0.0,0,False,未实施,20210210,0,-0.0056022408963585235,0.022535211267605604,0.01689606712819547,0.07042253521126751,0.0977555703451769,0.14929577464788735,0.21918883693350666,0.18873239436619715,0.23119971113157112
000778.SZ,20220823,0.31,,,,0.0,0.0,0,False,未实施,20220823,0,-0.048387096774193616,-0.01937046004842602,-0.0007594712531611147,-0.03874092009685215,-0.02414486825049944,-0.07263922518159793,-0.02532301475617671,-0.06295399515738487,-0.008697467973326378
000786.SZ,20260622,,,,,0.0,0.0,0,False,未实施,20260622,0,-0.010649087221095144,-0.045105074320861194,-0.03188600860425017,-0.06458226550486945,-0.044102046813106255,-0.022552537160430708,0.07189317195540101,,
000790.SZ,20231107,0.01,,,,0.0,0.0,0,False,未实施,20231107,0,0.007366482504604255,0.018281535648994485,0.01991522431080006,-0.012797074954296161,-0.012409632561920625,-0.01645338208409508,0.01166484584922145,-0.25959780621572215,-0.18824813827130515
000790.SZ,20231227,0.01,,,,0.0,0.0,0,False,未实施,20231227,0,-0.007858546168958758,-0.013861386138613763,-0.02724140927397034,0.0217821782178218,0.008039619030646428,-0.09306930693069304,-0.09041505788707549,-0.18217821782178212,-0.21621051042044814
000800.SZ,20220831,0.05,,,,0.0,0.0,0,False,未实施,20220831,0,-0.01686746987951815,-0.004901960784313819,0.00045882429907817546,-0.002450980392156743,-0.01601976658763926,-0.1078431372549018,-0.060632351494703585,0.09068627450980404,0.10332005480922568
000800.SZ,20230831,0.02,,,,0.0,0.0,0,False,未实施,20230831,0,-0.01038062283737029,0.010489510489510634,0.006177514277371454,0.012820512820512775,0.012017386822305465,0.011655011655011593,0.014712637584421762,0.12121212121212133,0.1538467900278908
000803.SZ,20210804,0.19,,,,0.0,0.0,0,False,未实施,20210804,0,-0.002702702702702786,-0.01897018970189701,-0.015950732235976428,0.04065040650406493,0.02432970938421719,0.11178861788617889,0.08377426883538419,0.35162601626016254,0.3460713146085468
000803.SZ,20221229,0.13,,,,0.0,0.0,0,False,未实施,20221229,0,-0.017421602787456636,0.007978723404255428,0.0029029350037812485,0.11613475177304977,0.08646615034391258,0.20744680851063846,0.1372569949800122,0.06737588652482285,0.0024244146489258434
000803.SZ,20230829,0.09,,,,0.0,0.0,0,False,未实施,20230829,0,0.006535947712418277,-0.025974025974026094,-0.026362377357512456,-0.014610389610389518,-0.020384146669522263,-0.037337662337662336,-0.026906912930142246,-0.0032467532467532756,0.034423762588851714
000848.SZ,20260428,,,,,0.0,0.0,0,False,未实施,20260428,0,0.054696789536266444,0.005636978579481422,-0.0014329367519023695,0.027057497181510515,0.002163354768083714,-0.013611361800591304,-0.011170391404885627,0.08933696694352178,0.167771213521537
000852.SZ,20250308,0.01,,,,0.0,0.0,0,False,未实施,20250307,1,0.04103343465045595,-0.014598540145985384,-0.012730056522953448,0.014598540145985606,0.0006487513649338084,-0.10218978102189769,-0.022176143053841413,-0.046715328467153205,-0.05032309429307846
000852.SZ,20251023,0.01,,,,0.0,0.0,0,False,未实施,20251023,0,0.10011778563015294,-0.0995717344753747,-0.10593153906488839,-0.22805139186295498,-0.24053816005713313,-0.22912205567451815,-0.23081657275552458,-0.17558886509635974,-0.2139818951150485
000876.SZ,20210111,0.1,,,,0.0,0.0,0,False,未实施,20210111,0,-0.04034229828850844,0.015286624203821653,-0.006334333023646277,-0.02420382165605106,-0.041766490479982155,0.048832271762207835,0.048550530230856426,-0.23439490445859879,-0.20395801800891855
000876.SZ,20230429,0.04,,,,0.0,0.0,0,False,未实施,20230428,1,0.021995286724273422,-0.014604150653343528,-0.02259920497477863,-0.032282859338970016,-0.03108048380105788,-0.13374327440430445,-0.10165357474128311,-0.06687163720215206,-0.0533845787083409
