ts_code,t0,final_stage,terminate_date,apply_date,list_date,raise_plan_yi,raise_act_yi,price_ratio,purpose,days,ret,ex
000909.SZ,20200210,实施完成,,20201201,20201225,1.68,5.0,90.0,募集配套资金用于1、支付现金交易对价;2、诚园置业自持部分升级改造项目;3、东部软件园园区提升改造工程和“智云社”众创空,18,-0.06976744186046513,
002307.SZ,20190318,实施完成,,20210323,20210527,9.5,6.0,80.0,募集配套资金用于支付本次交易的现金对价、支付本次交易相关费用及投入标的公司项目建设,43,-0.004158004158004047,-0.05861338840519714
601878.SH,20200520,实施完成,,20210413,20210520,28.05,28.05,80.0,1、投资与交易业务；2、资本中介业务；3、偿还债务；4、经纪业务、研究业务及信息系统建设。,24,0.08991596638655475,0.05558185705850982
601689.SH,20200519,实施完成,,20210126,20210223,20.0,20.0,80.0,用于杭州湾二期轻量化底盘系统模块项目、湖南工厂轻量化底盘系统模块项目,15,-0.1624794069192751,-0.17789423689483463
000895.SZ,20200518,实施完成,,20200914,20201019,70.0,70.0,80.0,1、肉鸡产业化产能建设项目;2、生猪养殖产能建设项目;3、生猪屠宰及调理制品技术改造项目;4、肉制品加工技术改造项目;5,19,-0.025228022511158743,
603179.SH,20200516,实施完成,,20201215,20210104,11.99,11.99,80.0,1、西安生产基地建设项目;2、上海智能制造基地建设项目;3、上海研发中心建设项目4、补充流动资金。,13,0.33971205380571634,
000785.SZ,20200516,实施完成,,20201103,20201202,35.95,35.95,80.0,1、门店改造升级项目;2、中商超市智慧零售建设项目;3、大数据平台建设项目;4、居然之家京津冀智慧物流园项目(二期);5,21,-0.09482758620689635,
002909.SZ,20200229,实施完成,,20201221,20210108,3.0,3.0,80.0,"1、年产中性硅酮密封胶80,000吨和改性硅酮密封胶30,000吨项目;2、年产双组份硅橡胶15,000吨和乙烯基硅油8",13,-0.048785621821452185,
002786.SZ,20200515,实施完成,,20210315,20210415,7.07,5.41,80.0,用于广东银宝山新科技有限公司产业建设项目一期工程、偿还借款及补充流动资金项目,22,-0.00981996726677592,-0.003714533768116035
603068.SH,20200514,实施完成,,20201222,20210107,7.61,7.61,80.0,用于智慧交通与智能驾驶研发及产业化项目、补充流动资金,11,0.0742043788337956,
601016.SH,20190514,实施完成,,20200819,20200902,28.0,20.69,80.0,1、阳江南鹏岛海上风电项目(300MW)；2、德令哈风电项目(50MW)；3、达茂旗百灵庙风电供热项目(50MW)；4、,10,-0.07920792079207906,
603317.SH,20200513,实施完成,,20201104,20201130,16.3,16.3,80.0,用于天味食品调味品产业化项目、食品、调味品产业化生产基地扩建项目,18,-0.1105732869459991,
002362.SZ,20200513,实施完成,,20201215,20210120,6.0,5.69,80.0,用于1、新一代自然语言认知技术与文本大数据开放平台及应用系统;2、新一代神经网络图像视频与人形行为分析平台及企业端应用项,25,-0.025855513307984745,
300275.SZ,20200512,实施完成,,20210205,20210312,1.54,1.54,80.0,1、基于5G+AI技术的智慧矿山大数据管控平台项目;2、基于5G+AI技术的智慧城市管理大数据管控平台项目;3、补充流动,20,-0.012154696132596676,0.0002196116299668649
300483.SZ,20200227,实施完成,,20200918,20201023,8.28,8.28,80.0,1、购买中海沃邦10%股权;2、偿还济川控股借款;3、偿还银行贷款。,19,-0.020386826973340266,
002568.SZ,20200509,实施完成,,20201030,20201123,10.06,10.06,80.0,用于烈酒(威士忌)陈酿熟成项目,16,0.23661718398560505,
600110.SH,20200509,实施完成,,20201120,20201203,14.2,14.2,80.0,用于年产15000吨高性能极薄锂离子电池用电解铜箔工程项目、补充流动资金及偿还银行贷款,9,-0.03485254691688999,
300019.SZ,20200507,实施完成,,20210201,20210315,8.4,8.4,80.0,用于1、10万吨/年高端密封胶智能制造项目;2、国家企业技术中心扩建项目;3、补充流动资金项目。,25,0.001145475372279492,0.026127086944498723
603990.SH,20200227,实施完成,,20201110,20201204,7.46,7.28,80.0,1、区域急危重症协同救治系统平台建设项目;2、互联网云医疗信息系统建设项目;3、补充流动资金。,18,-0.11883495145631062,
