ts_code,entry_date,entry_price,shares,exit_date,exit_price,exit_reason,fill_scenario,gross_pnl,fees,ret_pct
600774.SH,20210429,17.73,20800,20210430,19.31067,规则卖出,base,32283.66258,594.27342,0.08751896416758755
000683.SZ,20210429,3.05,121400,20210430,3.16683,规则卖出,base,13610.028047500009,573.1339525000001,0.03674784992276523
603900.SH,20210429,7.57,48900,20210430,7.52247,规则卖出,base,-2876.571228750004,552.35422875,-0.007768941186103749
603020.SH,20210430,10.9,35300,20210506,11.29869,规则卖出,base,13479.009803750034,594.7471962500001,0.03502258724309757
600007.SH,20210430,13.94,27600,20210506,13.50648,规则卖出,base,-12527.311560000015,562.1595599999999,-0.03255198395523074
600150.SH,20210506,17.16,22400,20210507,17.282700000000002,规则卖出,base,2168.468400000032,580.0116,0.005640001712858582
600992.SH,20210506,6.97,55200,20210507,6.86313,规则卖出,base,-6468.965969999974,569.74197,-0.016809486652726996
002613.SZ,20210507,3.66,104800,20210510,3.64635,规则卖出,base,-2004.083850000003,573.56385,-0.005223540426368825
002858.SZ,20210507,15.66,24500,20210510,15.93405,规则卖出,base,6130.32721874995,583.89778125,0.015974131467133085
002889.SZ,20210510,30.0,12800,20210511,31.968,规则卖出,base,24582.91200000001,607.488,0.064001999500125
000630.SZ,20210510,3.31,116300,20210511,3.22677,规则卖出,base,-10244.978938749997,565.3299387500001,-0.02660693210383204
000737.SZ,20210510,7.1,54200,20210511,7.10289,规则卖出,base,-420.7877974999556,577.4257975,-0.0010931932509829136
603696.SH,20210511,10.92,35600,20210512,11.188799999999999,规则卖出,base,8974.190399999987,595.0896,0.02307884567319705
600234.SH,20210511,11.53,33800,20210512,12.66732,规则卖出,base,37808.79323000005,632.62277,0.09699252116719315
600058.SH,20210511,8.92,43600,20210512,8.991,规则卖出,base,2508.362499999991,587.2375,0.006448079684114823
002842.SZ,20210512,11.21,36200,20210513,10.989,规则卖出,base,-8598.902750000032,598.7027500000002,-0.021184601262708484
000701.SZ,20210512,5.52,73500,20210513,5.4945,规则卖出,base,-2480.487187499944,606.2371875,-0.006112262695195629
002242.SZ,20210512,34.97,11600,20210513,35.4645,规则卖出,base,5120.551749999985,615.64825,0.01261986119140786
603389.SH,20210513,4.65,86900,20210514,5.04495,规则卖出,base,33672.126056249945,649.02894375,0.08330848739428032
000700.SZ,20210513,5.81,69500,20210514,5.64435,规则卖出,base,-12103.976656249975,591.3016562500001,-0.029968056608911397
300147.SZ,20210513,8.76,46100,20210514,8.511479999999999,规则卖出,base,-12048.205035000077,591.433035,-0.029826943948944463
300167.SZ,20210514,4.87,83600,20210517,4.815180000000001,规则卖出,base,-5187.9213099999515,604.9693100000001,-0.01273941781495066
603657.SH,20210514,22.75,17900,20210517,24.994979999999998,规则卖出,base,39524.07307249997,661.0689275,0.0970328308032881
002908.SZ,20210514,15.71,25900,20210517,15.70428,规则卖出,base,-758.2963149999935,610.148315,-0.0018631783810889892
002365.SZ,20210517,9.91,42200,20210518,10.889100000000001,规则卖出,base,40639.06947500004,678.950525,0.09715140589222028
600572.SH,20210518,4.92,87800,20210519,5.07492,规则卖出,base,12937.009529999987,664.96647,0.029940959881980693
600525.SH,20210519,5.93,73500,20210520,6.15384,规则卖出,base,15777.892199999997,674.3478,0.03619081738840163
300204.SZ,20210519,10.52,41400,20210520,11.548440000000001,规则卖出,base,41870.90223000005,706.51377,0.09611422714663552
600821.SH,20210519,5.51,79200,20210520,5.594399999999999,规则卖出,base,6021.536399999923,662.9435999999998,0.013795008598122525
002613.SZ,20210520,3.84,119100,20210521,4.1058900000000005,规则卖出,base,30941.89862625005,725.60037375,0.06763872508435402
603066.SH,20210520,8.25,55400,20210521,8.40159,规则卖出,base,7702.013392500009,696.0726075000001,0.01684736543136945
002114.SZ,20210521,7.36,63900,20210524,7.38261,规则卖出,base,737.5170262499605,707.26197375,0.0015677789112503644
002598.SZ,20210524,6.72,70000,20210525,6.66333,规则卖出,base,-4667.541374999937,700.641375,-0.009920014416038713
002717.SZ,20210524,3.36,140100,20210525,3.4265700000000003,规则卖出,base,8608.694928750056,717.7620712500001,0.018283163584104093
000153.SZ,20210525,8.64,54600,20210526,8.941049999999999,规则卖出,base,15709.167337499895,728.1626625,0.03329187234441367
002062.SZ,20210526,4.91,97200,20210527,4.93506,规则卖出,base,1716.909209999978,718.92279,0.0035965906690333064
002279.SZ,20210526,5.21,91600,20210527,5.1948,规则卖出,base,-2106.433599999981,714.1136,-0.0044127163986354264
600713.SH,20210526,5.25,90900,20210527,5.3346599999999995,规则卖出,base,6970.13700750001,725.4569925,0.014601906666190616
002617.SZ,20210527,8.93,53600,20210528,8.91108,规则卖出,base,-1730.8163600000441,716.7043600000001,-0.0036151488443679474
002379.SZ,20210527,3.76,127500,20210528,4.13586,规则卖出,base,47143.14731250003,779.0026875,0.0983132341914522
600055.SH,20210527,15.16,31600,20210528,15.774209999999998,规则卖出,base,18666.190704999983,742.845295,0.03895478884236721
603059.SH,20210528,23.66,21100,20210531,24.81516,规则卖出,base,23594.569655000007,779.3063450000001,0.047250488730311097
002261.SZ,20210528,8.03,62300,20210531,8.3916,规则卖出,base,21749.116900000103,778.5631,0.043463978339163864
600173.SH,20210528,5.97,83800,20210531,6.11388,规则卖出,base,11291.643569999977,765.5004299999999,0.022564735700496937
603611.SH,20210531,14.47,35900,20210601,15.4845,规则卖出,base,35595.81481250009,824.7351874999999,0.06850580893131952
600206.SH,20210531,13.5,38400,20210601,13.3866,规则卖出,base,-5126.716800000018,772.1568,-0.009887028242939301
002931.SZ,20210531,18.06,28700,20210601,18.0819,规则卖出,base,-149.73866249989436,778.2686625000001,-0.00028881899126526896
300279.SZ,20210601,6.38,83000,20210602,6.343649999999999,规则卖出,base,-3807.5886875000924,790.5386875,-0.007188573154517187
600834.SH,20210601,11.24,47100,20210602,11.19879,规则卖出,base,-2732.6707612499354,791.6797612500001,-0.005160497019873023
000830.SZ,20210601,17.91,29500,20210602,18.1818,规则卖出,base,7215.55987499997,802.540125,0.013653496173695212
002660.SZ,20210602,7.58,69900,20210603,7.46253,规则卖出,base,-8995.652058749996,784.49905875,-0.0169737463391408
002132.SZ,20210602,3.63,146000,20210603,3.77622,规则卖出,base,20526.464849999986,821.65515,0.038720960255803794
300853.SZ,20210602,72.72,7200,20210603,71.47845,规则卖出,base,-9713.362050000047,774.2020499999999,-0.018547041766786117
000953.SZ,20210603,5.67,93500,20210604,5.62437,规则卖出,base,-5056.289493750078,789.8844937499999,-0.009535175729877202
600630.SH,20210603,6.22,85300,20210604,6.5934,规则卖出,base,31015.35722500007,835.662775,0.058442503522029586
600478.SH,20210603,4.31,123100,20210604,4.31568,规则卖出,base,-97.50750999985357,796.7155100000002,-0.00018373596855978823
002902.SZ,20210604,12.3,43800,20210607,12.8871,规则卖出,base,24874.72627499996,840.253725,0.04616050255728743
002136.SZ,20210604,11.91,45200,20210607,13.0869,规则卖出,base,52321.88714999995,873.99285,0.0971683086784978
600869.SH,20210604,4.58,117700,20210607,4.77522,规则卖出,base,22140.073257499982,837.3207424999998,0.041060908353697564
600080.SH,20210607,7.68,74500,20210608,7.95204,规则卖出,base,19383.406274999994,883.573725,0.033869130373656575
002312.SZ,20210607,8.32,68800,20210608,8.641350000000001,规则卖出,base,21222.6199000001,886.2601000000001,0.0370662517663855
600992.SH,20210607,7.1,80600,20210608,7.092899999999999,规则卖出,base,-1429.9346749999654,857.6746750000002,-0.002498125468632782
603918.SH,20210608,10.87,53800,20210609,11.2887,规则卖出,base,21620.69342500003,905.3665750000001,0.03696147030399719
002892.SZ,20210609,22.29,26500,20210610,24.49548,规则卖出,base,57486.135975,959.0840249999999,0.09729681307802254
